Date,Time,Open,High,Low,Close,Volume
2016.03.15,12:00,113.063,113.198,112.896,112.898,27488
2016.03.15,16:00,112.898,113.097,112.627,112.869,34628
2016.03.15,20:00,112.87,113.136,112.81,113.106,18232
2016.03.16,0:00,113.106,113.211,113.077,113.099,11524
2016.03.16,4:00,113.098,113.555,113.02,113.381,21883
2016.03.16,8:00,113.38,113.732,113.34,113.633,16509
2016.03.16,12:00,113.633,113.751,113.458,113.506,21943
2016.03.16,16:00,113.506,113.813,113.503,113.688,29707
2016.03.16,20:00,113.688,113.814,112.328,112.562,37651
2016.03.17,0:00,112.561,112.828,112.487,112.792,12122
2016.03.17,4:00,112.792,112.952,112.495,112.495,23866
2016.03.17,8:00,112.495,112.556,111.67,111.749,31762
2016.03.17,12:00,111.749,111.781,110.752,110.761,37864
2016.03.17,16:00,110.76,111.997,110.664,111.295,44381
2016.03.17,20:00,111.295,111.557,110.972,111.406,23048
2016.03.18,0:00,111.406,111.483,111.27,111.36,8319
2016.03.18,4:00,111.362,111.461,110.817,111.246,29117
2016.03.18,8:00,111.244,111.577,111.052,111.331,21214
2016.03.18,12:00,111.331,111.495,111.183,111.444,20103
2016.03.18,16:00,111.443,111.617,111.327,111.389,23789
2016.03.18,20:00,111.39,111.753,111.345,111.66,14287
2016.03.19,0:00,111.664,111.669,111.513,111.52,2070
2016.03.21,0:00,111.524,111.552,111.332,111.439,5545
2016.03.21,4:00,111.44,111.495,111.215,111.367,15193
2016.03.21,8:00,111.366,111.559,111.354,111.417,14461
2016.03.21,12:00,111.417,111.589,111.347,111.529,23627
2016.03.21,16:00,111.528,111.857,111.447,111.624,29762
2016.03.21,20:00,111.625,111.928,111.617,111.879,17706
2016.03.22,0:00,111.88,112.171,111.863,112.144,11550
2016.03.22,4:00,112.142,112.206,111.829,111.851,21333
2016.03.22,8:00,111.85,112.177,111.673,111.735,20871
2016.03.22,12:00,111.732,111.839,111.377,111.711,35267
2016.03.22,16:00,111.715,111.832,111.538,111.804,31055
2016.03.22,20:00,111.804,112.485,111.797,112.317,21530
2016.03.23,0:00,112.317,112.425,112.17,112.248,10229
2016.03.23,4:00,112.252,112.391,112.137,112.328,17709
2016.03.23,8:00,112.328,112.469,112.224,112.368,17407
2016.03.23,12:00,112.37,112.759,112.359,112.676,20423
2016.03.23,16:00,112.677,112.901,112.559,112.629,29854
2016.03.23,20:00,112.629,112.746,112.337,112.448,14355
2016.03.24,0:00,112.448,112.462,112.332,112.42,8190
2016.03.24,4:00,112.421,112.852,112.29,112.694,19028
2016.03.24,8:00,112.694,113.002,112.664,112.849,16005
2016.03.24,12:00,112.851,112.95,112.562,112.732,21882
2016.03.24,16:00,112.732,112.735,112.368,112.635,26682
2016.03.24,20:00,112.635,112.844,112.635,112.822,15317
2016.03.25,0:00,112.826,112.894,112.747,112.831,8720
2016.03.25,4:00,112.835,113.319,112.809,113.111,16938
2016.03.25,8:00,113.111,113.159,112.884,113.063,10757
2016.03.25,12:00,113.062,113.081,112.935,113.023,9455
2016.03.25,16:00,113.024,113.119,112.988,113.057,5127
2016.03.25,20:00,113.057,113.167,113.055,113.116,2558
2016.03.26,0:00,113.116,113.149,113.014,113.048,550
2016.03.28,0:00,113.156,113.392,113.113,113.369,4952
2016.03.28,4:00,113.379,113.684,113.297,113.662,14456
2016.03.28,8:00,113.662,113.681,113.434,113.554,12498
2016.03.28,12:00,113.554,113.605,113.394,113.547,7238
2016.03.28,16:00,113.548,113.554,113.146,113.245,15080
2016.03.28,20:00,113.246,113.402,113.222,113.265,11666
